H,N,C,O,P,S,Si,Ti,H+N,C+O,S+P,Si+Ti,H/N,C/O,S/P,Si/Ti,comp_number
0.4,0.4,9.99E-24,9.99E-21,0.1,0.1,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1,0.001,1,10,134
0.4,0.4,9.99E-24,9.99E-21,0.018182,0.181818,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1,0.001,10,10,135
0.4,0.4,9.99E-24,9.99E-21,0.00198,0.19802,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1,0.001,100,10,136
0.007921,0.792079,9.99E-24,9.99E-21,0.1998,0.0002,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,100,0.001,0.001,10,137
0.007921,0.792079,9.99E-24,9.99E-21,0.1,0.1,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,100,0.001,1,10,138
0.007921,0.792079,9.99E-24,9.99E-21,0.018182,0.181818,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,100,0.001,10,10,139
0.007921,0.792079,9.99E-24,9.99E-21,0.00198,0.19802,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,100,0.001,100,10,140
8.00E-09,0.8,9.99E-24,9.99E-21,0.1998,0.0002,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E+08,0.001,0.001,10,141
8.00E-09,0.8,9.99E-24,9.99E-21,0.1,0.1,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E+08,0.001,1,10,142
8.00E-09,0.8,9.99E-24,9.99E-21,0.018182,0.181818,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E+08,0.001,10,10,143
8.00E-09,0.8,9.99E-24,9.99E-21,0.00198,0.19802,9.09E-21,9.09E-22,0.8,1.00E-20,0.2,1.00E-20,1.00E+08,0.001,100,10,144
0.79892,7.99E-05,9.99E-24,9.99E-21,0.1998,0.0002,0.000909,9.09E-05,0.799,1.00E-20,0.2,0.001,0.0001,0.001,0.001,10,145
0.79892,7.99E-05,9.99E-24,9.99E-21,0.1998,0.0002,0.00099,9.90E-06,0.799,1.00E-20,0.2,0.001,0.0001,0.001,0.001,100,146
0.79892,7.99E-05,9.99E-24,9.99E-21,0.1,0.1,0.000909,9.09E-05,0.799,1.00E-20,0.2,0.001,0.0001,0.001,1,10,147
0.79892,7.99E-05,9.99E-24,9.99E-21,0.1,0.1,0.00099,9.90E-06,0.799,1.00E-20,0.2,0.001,0.0001,0.001,1,100,148
0.79892,7.99E-05,9.99E-24,9.99E-21,0.018182,0.181818,0.000909,9.09E-05,0.799,1.00E-20,0.2,0.001,0.0001,0.001,10,10,149
0.79892,7.99E-05,9.99E-24,9.99E-21,0.018182,0.181818,0.00099,9.90E-06,0.799,1.00E-20,0.2,0.001,0.0001,0.001,10,100,150
0.79892,7.99E-05,9.99E-24,9.99E-21,0.00198,0.19802,0.000909,9.09E-05,0.799,1.00E-20,0.2,0.001,0.0001,0.001,100,10,151
0.79892,7.99E-05,9.99E-24,9.99E-21,0.00198,0.19802,0.00099,9.90E-06,0.799,1.00E-20,0.2,0.001,0.0001,0.001,100,100,152
0.791089,0.007911,9.99E-24,9.99E-21,0.1998,0.0002,0.000909,9.09E-05,0.799,1.00E-20,0.2,0.001,0.01,0.001,0.001,10,153
0.791089,0.007911,9.99E-24,9.99E-21,0.1998,0.0002,0.00099,9.90E-06,0.799,1.00E-20,0.2,0.001,0.01,0.001,0.001,100,154
